# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
911.00000000   2.05728617   1.95201282   0.00003904   0.45219094
921.00000000   2.05689863   1.95187224   0.00003841   0.45208773
931.00000000   2.05651733   1.95173387   0.00003779   0.45198614
941.00000000   2.05614209   1.95159765   0.00003720   0.45188613
951.00000000   2.05577276   1.95146352   0.00003661   0.45178766
961.00000000   2.05540918   1.95133145   0.00003605   0.45169068
971.00000000   2.05505120   1.95120136   0.00003549   0.45159517
981.00000000   2.05469869   1.95107322   0.00003496   0.45150109
991.00000000   2.05435150   1.95094697   0.00003443   0.45140839
1001.00000000   2.05400950   1.95082258   0.00003392   0.45131705
1011.00000000   2.05367256   1.95069998   0.00003342   0.45122703
1021.00000000   2.05334057   1.95057915   0.00003293   0.45113830
1031.00000000   2.05301339   1.95046003   0.00003246   0.45105083
1041.00000000   2.05269092   1.95034259   0.00003199   0.45096459
1051.00000000   2.05237304   1.95022679   0.00003154   0.45087955
1061.00000000   2.05205965   1.95011259   0.00003110   0.45079569
1071.00000000   2.05175063   1.94999995   0.00003066   0.45071298
1081.00000000   2.05144590   1.94988884   0.00003024   0.45063138
1091.00000000   2.05114534   1.94977922   0.00002983   0.45055088
1101.00000000   2.05084887   1.94967107   0.00002943   0.45047145
1111.00000000   2.05055639   1.94956434   0.00002903   0.45039307
1121.00000000   2.05026782   1.94945901   0.00002865   0.45031572
1131.00000000   2.04998307   1.94935505   0.00002827   0.45023936
1141.00000000   2.04970206   1.94925242   0.00002790   0.45016399
1151.00000000   2.04942469   1.94915110   0.00002754   0.45008958
1161.00000000   2.04915091   1.94905106   0.00002718   0.45001610
1171.00000000   2.04888062   1.94895228   0.00002684   0.44994355
1181.00000000   2.04861376   1.94885472   0.00002650   0.44987190
1191.00000000   2.04835025   1.94875837   0.00002617   0.44980113
1201.00000000   2.04809003   1.94866320   0.00002584   0.44973122
1211.00000000   2.04783302   1.94856917   0.00002553   0.44966216
1221.00000000   2.04757916   1.94847628   0.00002521   0.44959393
1231.00000000   2.04732839   1.94838450   0.00002491   0.44952651
