# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
10.10000000   1.35683094   2.48818992   0.01668586   0.44724138
10.20000000   1.35516110   2.48769805   0.01671379   0.44656026
10.30000000   1.35348846   2.48719872   0.01674167   0.44587633
10.40000000   1.35181304   2.48669188   0.01676952   0.44518955
10.50000000   1.35013484   2.48617747   0.01679733   0.44449993
10.60000000   1.34845385   2.48565543   0.01682510   0.44380744
10.70000000   1.34677010   2.48512571   0.01685282   0.44311208
10.80000000   1.34508357   2.48458824   0.01688050   0.44241383
10.90000000   1.34339428   2.48404296   0.01690813   0.44171267
11.00000000   1.34170222   2.48348983   0.01693571   0.44100860
11.10000000   1.34000741   2.48292877   0.01696324   0.44030160
11.20000000   1.33830985   2.48235973   0.01699071   0.43959166
11.30000000   1.33660955   2.48178266   0.01701813   0.43887876
11.40000000   1.33490650   2.48119748   0.01704550   0.43816290
11.50000000   1.33320072   2.48060415   0.01707280   0.43744405
11.60000000   1.33149222   2.48000259   0.01710005   0.43672220
11.70000000   1.32978099   2.47939276   0.01712723   0.43599735
11.80000000   1.32806704   2.47877458   0.01715435   0.43526947
11.90000000   1.32635039   2.47814800   0.01718140   0.43453856
12.00000000   1.32463104   2.47751295   0.01720838   0.43380460
12.10000000   1.32290899   2.47686938   0.01723529   0.43306758
12.20000000   1.32118425   2.47621722   0.01726212   0.43232747
12.30000000   1.31945683   2.47555641   0.01728888   0.43158428
12.40000000   1.31772674   2.47488688   0.01731557   0.43083799
12.50000000   1.31599399   2.47420858   0.01734217   0.43008858
12.60000000   1.31425858   2.47352143   0.01736869   0.42933604
12.70000000   1.31252052   2.47282538   0.01739513   0.42858036
12.80000000   1.31077982   2.47212037   0.01742148   0.42782152
12.90000000   1.30903649   2.47140632   0.01744774   0.42705952
13.00000000   1.30729054   2.47068318   0.01747391   0.42629432
13.10000000   1.30554197   2.46995087   0.01749998   0.42552594
13.20000000   1.30379080   2.46920934   0.01752596   0.42475434
13.30000000   1.30203704   2.46845852   0.01755184   0.42397952
13.40000000   1.30028070   2.46769835   0.01757762   0.42320147
13.50000000   1.29852178   2.46692875   0.01760330   0.42242016
13.60000000   1.29676030   2.46614967   0.01762886   0.42163559
13.70000000   1.29499626   2.46536103   0.01765433   0.42084775
13.80000000   1.29322969   2.46456277   0.01767967   0.42005662
13.90000000   1.29146059   2.46375483   0.01770491   0.41926218
14.00000000   1.28968896   2.46293714   0.01773003   0.41846444
14.10000000   1.28791483   2.46210963   0.01775503   0.41766336
14.20000000   1.28613821   2.46127223   0.01777990   0.41685894
14.30000000   1.28435911   2.46042488   0.01780465   0.41605117
14.40000000   1.28257753   2.45956751   0.01782928   0.41524003
14.50000000   1.28079350   2.45870005   0.01785377   0.41442551
14.60000000   1.27900703   2.45782243   0.01787813   0.41360760
14.70000000   1.27721812   2.45693460   0.01790236   0.41278628
14.80000000   1.27542680   2.45603647   0.01792645   0.41196155
14.90000000   1.27363308   2.45512798   0.01795039   0.41113338
15.00000000   1.27183697   2.45420906   0.01797419   0.41030178
15.10000000   1.27003848   2.45327965   0.01799785   0.40946671
15.20000000   1.26823764   2.45233967   0.01802135   0.40862818
15.30000000   1.26643445   2.45138906   0.01804470   0.40778617
15.40000000   1.26462894   2.45042775   0.01806789   0.40694066
15.50000000   1.26282111   2.44945567   0.01809092   0.40609165
15.60000000   1.26101099   2.44847274   0.01811379   0.40523912
15.70000000   1.25919858   2.44747891   0.01813650   0.40438307
15.80000000   1.25738392   2.44647410   0.01815903   0.40352347
15.90000000   1.25556701   2.44545824   0.01818140   0.40266032
16.00000000   1.25374787   2.44443126   0.01820359   0.40179360
16.10000000   1.25192652   2.44339310   0.01822560   0.40092331
16.20000000   1.25010297   2.44234368   0.01824742   0.40004942
16.30000000   1.24827722   2.44131344   0.01826998   0.39917192
16.40000000   1.24644921   2.44027446   0.01829244   0.39829076
16.50000000   1.24461896   2.43922487   0.01831473   0.39740593
16.60000000   1.24278649   2.43816462   0.01833687   0.39651742
16.70000000   1.24095181   2.43709363   0.01835883   0.39562520
16.80000000   1.23911495   2.43601183   0.01838063   0.39472928
16.90000000   1.23727591   2.43491917   0.01840226   0.39382963
17.00000000   1.23543472   2.43381557   0.01842371   0.39292624
17.10000000   1.23359139   2.43270097   0.01844498   0.39201910
17.20000000   1.23174594   2.43157529   0.01846608   0.39110820
17.30000000   1.22989839   2.43043849   0.01848699   0.39019353
17.40000000   1.22804875   2.42929048   0.01850771   0.38927506
17.50000000   1.22619706   2.42813120   0.01852824   0.38835280
17.60000000   1.22434332   2.42696058   0.01854857   0.38742672
17.70000000   1.22248755   2.42577857   0.01856871   0.38649682
17.80000000   1.22062978   2.42458508   0.01858865   0.38556308
17.90000000   1.21877003   2.42338006   0.01860838   0.38462550
18.00000000   1.21690831   2.42216343   0.01862791   0.38368405
18.10000000   1.21504465   2.42093514   0.01864722   0.38273873
18.20000000   1.21317906   2.41969512   0.01866632   0.38178953
