# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
911.00000000   2.65964055   2.18287381   0.00000319   0.66445090
921.00000000   2.65960891   2.18286743   0.00000314   0.66444691
931.00000000   2.65957778   2.18286115   0.00000309   0.66444298
941.00000000   2.65954715   2.18285497   0.00000304   0.66443911
951.00000000   2.65951701   2.18284888   0.00000299   0.66443531
961.00000000   2.65948733   2.18284290   0.00000294   0.66443157
971.00000000   2.65945812   2.18283700   0.00000290   0.66442788
981.00000000   2.65942935   2.18283120   0.00000285   0.66442425
991.00000000   2.65940102   2.18282548   0.00000281   0.66442067
1001.00000000   2.65937312   2.18281985   0.00000277   0.66441715
1011.00000000   2.65934563   2.18281431   0.00000273   0.66441368
1021.00000000   2.65931854   2.18280884   0.00000269   0.66441027
1031.00000000   2.65929185   2.18280345   0.00000265   0.66440690
1041.00000000   2.65926554   2.18279815   0.00000261   0.66440358
1051.00000000   2.65923962   2.18279291   0.00000257   0.66440031
1061.00000000   2.65921405   2.18278776   0.00000254   0.66439708
1071.00000000   2.65918885   2.18278267   0.00000250   0.66439390
1081.00000000   2.65916400   2.18277766   0.00000247   0.66439076
1091.00000000   2.65913949   2.18277271   0.00000243   0.66438767
1101.00000000   2.65911532   2.18276783   0.00000240   0.66438462
1111.00000000   2.65909147   2.18276302   0.00000237   0.66438161
1121.00000000   2.65906794   2.18275827   0.00000234   0.66437864
1131.00000000   2.65904472   2.18275358   0.00000230   0.66437571
1141.00000000   2.65902181   2.18274896   0.00000227   0.66437282
1151.00000000   2.65899920   2.18274440   0.00000224   0.66436996
1161.00000000   2.65897689   2.18273989   0.00000222   0.66436715
1171.00000000   2.65895485   2.18273545   0.00000219   0.66436437
1181.00000000   2.65893310   2.18273106   0.00000216   0.66436162
1191.00000000   2.65891163   2.18272672   0.00000213   0.66435891
1201.00000000   2.65889042   2.18272244   0.00000211   0.66435623
1211.00000000   2.65886947   2.18271822   0.00000208   0.66435359
1221.00000000   2.65884879   2.18271404   0.00000205   0.66435098
1231.00000000   2.65882835   2.18270992   0.00000203   0.66434840
1241.00000000   2.65880817   2.18270584   0.00000201   0.66434585
1251.00000000   2.65878822   2.18270182   0.00000198   0.66434333
1261.00000000   2.65876851   2.18269784   0.00000196   0.66434084
1271.00000000   2.65874904   2.18269391   0.00000193   0.66433838
1281.00000000   2.65872979   2.18269002   0.00000191   0.66433595
1291.00000000   2.65871077   2.18268618   0.00000189   0.66433355
1301.00000000   2.65869197   2.18268239   0.00000187   0.66433118
1311.00000000   2.65867339   2.18267864   0.00000185   0.66432883
1321.00000000   2.65865501   2.18267493   0.00000183   0.66432651
1331.00000000   2.65863684   2.18267126   0.00000181   0.66432422
1341.00000000   2.65861888   2.18266763   0.00000179   0.66432195
1351.00000000   2.65860112   2.18266405   0.00000177   0.66431971
1361.00000000   2.65858355   2.18266050   0.00000175   0.66431749
1371.00000000   2.65856617   2.18265699   0.00000173   0.66431530
1381.00000000   2.65854898   2.18265352   0.00000171   0.66431313
1391.00000000   2.65853198   2.18265009   0.00000169   0.66431098
1401.00000000   2.65851517   2.18264670   0.00000167   0.66430885
1411.00000000   2.65849853   2.18264334   0.00000165   0.66430675
1421.00000000   2.65848206   2.18264001   0.00000164   0.66430467
1431.00000000   2.65846577   2.18263672   0.00000162   0.66430262
1441.00000000   2.65844965   2.18263347   0.00000160   0.66430058
1451.00000000   2.65843370   2.18263025   0.00000159   0.66429857
1461.00000000   2.65841791   2.18262706   0.00000157   0.66429657
1471.00000000   2.65840228   2.18262391   0.00000155   0.66429460
