3.153600000000000000e+13 2.705402070000000182e+25 1.528118139686783589e+07 5.000000000000000000e-01 9.744677006022796035e+07
1.892160000000000000e+14 2.703865311146323177e+25 1.527819627045121416e+07 4.997158218555965425e-01 9.748136269330303371e+07
3.468960000000000000e+14 2.702328006839829451e+25 1.527520721267745085e+07 4.994312194610739386e-01 9.751595469278973341e+07
5.045760000000000000e+14 2.700790157091384841e+25 1.527221421560283937e+07 4.991461919215556264e-01 9.755054591971351206e+07
6.622560000000000000e+14 2.699251761914051202e+25 1.526921727126531117e+07 4.988607383400228135e-01 9.758513623429581523e+07
8.199360000000000000e+14 2.697712821323100579e+25 1.526621637168439664e+07 4.985748578173105350e-01 9.761972549595028162e+07
9.776160000000000000e+14 2.696173335336025945e+25 1.526321150886118971e+07 4.982885494521026581e-01 9.765431356327883899e+07
1.135296000000000000e+15 2.694633303972555801e+25 1.526020267477833107e+07 4.980018123409280517e-01 9.768890029406827688e+07
1.292976000000000000e+15 2.693092727254665348e+25 1.525718986139993742e+07 4.977146455781559786e-01 9.772348554528561234e+07
1.450656000000000000e+15 2.691551605206591087e+25 1.525417306067159399e+07 4.974270482559917106e-01 9.775806917307458818e+07
1.608336000000000000e+15 2.690009937854842415e+25 1.525115226452032663e+07 4.971390194644722538e-01 9.779265103275208175e+07
1.766016000000000000e+15 2.688467725228216228e+25 1.524812746485453658e+07 4.968505582914620189e-01 9.782723097880341113e+07
1.923696000000000000e+15 2.686924967357808090e+25 1.524509865356399119e+07 4.965616638226482138e-01 9.786180886487907171e+07
2.081376000000000000e+15 2.685381664277027263e+25 1.524206582251977921e+07 4.962723351415369577e-01 9.789638454379026592e+07
2.239056000000000000e+15 2.683837816021608733e+25 1.523902896357427165e+07 4.959825713294484517e-01 9.793095786750511825e+07
2.396736000000000000e+15 2.682293422629627386e+25 1.523598806856111065e+07 4.956923714655129265e-01 9.796552868714505434e+07
2.554416000000000000e+15 2.680748484141510890e+25 1.523294312929513678e+07 4.954017346266663124e-01 9.800009685297989845e+07
2.712096000000000000e+15 2.679203000600052581e+25 1.522989413757238910e+07 4.951106598876456877e-01 9.803466221442469954e+07
2.869776000000000000e+15 2.677656972050426495e+25 1.522684108517004736e+07 4.948191463209852814e-01 9.806922462003505230e+07
3.027456000000000000e+15 2.676110398540199396e+25 1.522378396384641714e+07 4.945271929970117553e-01 9.810378391750352085e+07
3.185136000000000000e+15 2.674563280119346235e+25 1.522072276534088701e+07 4.942347989838404843e-01 9.668445350431491435e+07
3.342816000000000000e+15 2.673082223871235962e+25 1.521778946449854597e+07 4.939545731440393994e-01 8.995518734949053824e+07
